step,loss
1,0.822
2,0.607
3,0.56
4,0.551
5,0.517
6,0.505
7,0.493
8,0.491
9,0.485
10,0.462
11,0.468
12,0.455
13,0.44
14,0.439
15,0.439
16,0.426
17,0.415
18,0.408
19,0.409
20,0.403
21,0.396
22,0.407
23,0.403
24,0.395
25,0.398
26,0.387
27,0.394
28,0.389
29,0.397
30,0.397
31,0.397
32,0.393
33,0.394
34,0.398
35,0.395
36,0.392
37,0.393
38,0.392
39,0.394
40,0.392
41,0.391
42,0.392
43,0.391
44,0.396
45,0.394
46,0.392
47,0.395
48,0.394
49,0.395
50,0.39
51,0.394
52,0.39
53,0.392
54,0.396
55,0.395
56,0.388
57,0.391
58,0.386
59,0.388
60,0.389
61,0.393
62,0.391
63,0.39
64,0.392
65,0.392
66,0.391
67,0.4
68,0.394
69,0.391
70,0.396
71,0.397
72,0.389
73,0.395
74,0.393
75,0.392
76,0.392
77,0.393
78,0.39
79,0.394
80,0.387
81,0.394
82,0.393
83,0.393
84,0.391
85,0.391
86,0.387
90,0.392
91,0.389
92,0.391
93,0.398
94,0.394
95,0.393
96,0.392
97,0.393
101,0.39
102,0.394
103,0.388
104,0.384
105,0.388
112,0.386
113,0.395
114,0.389
115,0.387
116,0.4
117,0.389
123,0.393
149,0.389
158,0.388
200,3.376
400,1.333
600,1.009
800,0.895
